HTTrack3.49-2+htsswf+htsjava launched on Thu, 11 Apr 2019 18:17:22 at http://www.ubmc.co.uk/ftr/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://www.ubmc.co.uk/ftr/ -O1 "C:\Users\Tom\Documents\uni\first year\ubmc\ftr-backup\HTTrack\UBMC 5" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:05:45	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s720x720/9834_10151903233735036_433799243_n.jpg?oh=f32353123acb6bfd9f5c9b00a74fe7c7&oe=54DBC895&__gda__=1425211112_84f09dd9277756629299d7e3557ae1a9 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
19:05:49	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link a1.sphotos.ak.fbcdn.net/hphotos-ak-snc6/226872_10150235977524468_611614467_8629583_2869708_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2216&start=15)
19:05:52	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-prn2/1465346_578738358864198_1470192558_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3319&start=60)
19:05:53	Error: 	"Bad Request" (400) at link https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/391935_10150486796805358_515480357_11003818_657691067_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2498&start=15)
19:05:54	Error: 	"Not Found" (404) at link discoveringdad.net/wp-content/uploads/2008/07/gregory-ng-big-man-little-car.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2505&start=15)
19:05:58	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn2/v/t34.0-12/10156983_10152325396382350_1799656094_n.jpg?oh=34c31a3192a1b22d1f4885fd511935cc&oe=5345EDA2&__gda__=1397089542_4e3a93455734608dd4db111d550b95ef (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3543)
19:06:00	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2427&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2427)
19:06:02	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2285&start=0 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2285&start=15)
19:06:06	Error: 	"Not Found" (404) at link img161.imageshack.us/img161/2073/towelie2gl.png (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2187&start=30)
19:06:17	Error: 	"Not Found" (404) at link img156.imageshack.us/img156/3461/ogwenvalley201007si8.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=85&start=45)
19:06:17	Error: 	"Not Found" (404) at link img156.imageshack.us/img156/5803/ogwenvalley201007thumbngq6.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=85&start=45)
19:06:17	Error: 	"Not Found" (404) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=21&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=21)
19:06:33	Error: 	"Not Found" (404) at link www.ubmc.co.uk/ftr/viewtopic.php?t=902&f=4 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=847&start=105)
19:06:34	Error: 	"Not Found" (404) at link erikmitchell.com/db1/00036/erikmitchell.com/_uimages/DSCN1413.JPG (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=899)
19:06:55	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?g=6&sk=m&sd=a&mode=group&start=0 (from www.ubmc.co.uk/ftr/memberlist.php?g=6&sk=m&sd=a&mode=group&start=50)
19:07:02	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2667 (from www.ubmc.co.uk/ftr/memberlist.php?g=6&mode=group&start=300)
19:07:09	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&start=75 (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&start=30)
19:07:09	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&start=90 (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&start=45)
19:07:09	Error: 	"Not Found" (404) at link www.ubmc.co.uk/ftr/viewtopic.php?f=2&t=1441 (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&start=45)
19:07:09	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1472 (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1418&view=previous)
19:07:59	Error: 	"Not Found" (404) at link https://www.lambiek.net/artists/g/grigg_charles/grigg_charles_head.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2204)
19:08:01	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link sphotos-b.ak.fbcdn.net/hphotos-ak-prn1/149731_451630994897256_1601706464_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=3201)
19:10:06	Error: 	"Not Found" (404) at link img528.imageshack.us/img528/5127/dsc00561vk8.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=889)
19:10:06	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=887&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=887)
