date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:56	50881/50881	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:58%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=2350&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopice820.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=2350)
14:28:56	39253/39253	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:49%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3643&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicb18d.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3643)
14:28:58	14242/14242	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:59%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicdae6.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606)
14:28:58	44337/44337	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:58%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?t=1260	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicf581-2.html	(from http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2190)
14:28:58	44217/44217	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:53%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=2350&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopiced82.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=2350)
14:28:58	13504/13504	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:00%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopica932.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606)
14:28:58	240/240	U-----	200	untouched ('')	image/gif	date:Wed,%2025%20Jan%202012%2007:16:16%20GMT	http://www.ubmc.co.uk/ftr/images/smilies/icon_cyclops.gif	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/images/smilies/icon_cyclops.gif	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606)
14:29:00	24961/24961	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:45%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=54	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic76ad.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:29:01	12132/12132	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:01%20GMT	http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3181	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/memberlist8bca.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3606)
14:29:01	29935/29935	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:01%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?t=3581	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic48b0.html	(from http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3149)
14:29:01	20959/20959	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:01%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3566&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic06f1.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3566)
14:29:02	39253/39253	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:03%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3566&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic0d8f.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3566)
14:29:02	14242/14242	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:03%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3525&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic8e76.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3525)
14:29:02	26002/26002	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:03%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3525&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicbaa6.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3525)
14:29:02	37263/37263	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:03%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?t=3310	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicc0b2.html	(from http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3141)
14:29:03	41156/41156	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:04%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?t=3313	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic7d94.html	(from http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3154)
